FIPS Code,State Code,County Code,State Abbreviation,State Name,County Name,Population in 2010,Total Number of Congregations,Total Number of Adherents,"Rates of Adherence per 1,000 population",Evangelical Protestant Congregations,Evangelical Adherents,"Evangelical Rate of Adherence per 1,000 population",Black Protestant Congregations,Black Protestant Adherents,"Black Protestant Rate of Adherence per 1,000 population",Mainline Protestant Congregations,Mainline Protestant Adherents,"Mainline Protestant Rate of Adherence per 1,000 population",Catholic Congregations,Catholic Adherents,"Catholic Rate of Adherence per 1,000 population",UV Exposure in Meters Squared
1001,1,1,AL,Alabama,Autauga,54571.0,106.0,36938.0,676.8788889,79.0,27503.0,503.99,13.0,2291.0,41.97888889,12.0,4522.0,82.85888889,1.0,1766.0,32.35888889,4563
1003,1,3,AL,Alabama,Baldwin,182265.0,271.0,96918.0,531.74,178.0,57986.0,318.1388889,17.0,3130.0,17.17,48.0,20075.0,110.14,13.0,14009.0,76.85888889,4492
1005,1,5,AL,Alabama,Barbour,27457.0,89.0,15101.0,549.99,51.0,8793.0,320.25,21.0,3328.0,121.20888889999999,14.0,2140.0,77.93888889,1.0,575.0,20.94,4642
1009,1,9,AL,Alabama,Blount,57322.0,156.0,37352.0,651.62,122.0,29223.0,509.8,2.0,58.0,1.01,29.0,3035.0,52.95,1.0,4744.0,82.76,4416
1011,1,11,AL,Alabama,Bullock,10914.0,47.0,6300.0,577.24,15.0,2152.0,197.18,21.0,3445.0,315.6488889,9.0,601.0,55.07,1.0,49.0,4.49,4629
1013,1,13,AL,Alabama,Butler,20947.0,92.0,12278.0,586.1488889,63.0,8653.0,413.0888889,8.0,1657.0,79.09888889,17.0,1653.0,78.90888889,1.0,77.0,3.68,4579
1015,1,15,AL,Alabama,Calhoun,118572.0,281.0,84615.0,713.62,204.0,67564.0,569.8088888999999,24.0,5163.0,43.53888889,42.0,7066.0,59.59,4.0,3192.0,26.92,4466
1017,1,17,AL,Alabama,Chambers,34215.0,119.0,22251.0,650.33,62.0,12903.0,377.12,21.0,5780.0,168.93,33.0,3080.0,90.01888889,1.0,249.0,7.28,4584
1021,1,21,AL,Alabama,Chilton,43643.0,122.0,30488.0,698.58,98.0,26608.0,609.6688889,7.0,1116.0,25.57,14.0,1805.0,41.35888889,1.0,709.0,16.25,4529
1023,1,23,AL,Alabama,Choctaw,13859.0,83.0,9721.0,701.4188889,52.0,6080.0,438.69888889999993,16.0,2635.0,190.1288889,13.0,789.0,56.92888889,1.0,60.0,4.33,4476
1025,1,25,AL,Alabama,Clarke,25833.0,122.0,20470.0,792.3988889,77.0,13634.0,527.7688889,23.0,5098.0,197.34,16.0,1632.0,63.17888889,3.0,11.0,0.43,4488
1027,1,27,AL,Alabama,Clay,13932.0,69.0,10305.0,739.6588889,53.0,8899.0,638.75,2.0,181.0,12.99,12.0,1038.0,74.5,1.0,186.0,13.34888889,4518
1031,1,31,AL,Alabama,Coffee,49948.0,120.0,33021.0,661.11,91.0,25889.0,518.32,11.0,1320.0,26.42888889,13.0,3457.0,69.20888889,1.0,1550.0,31.03,4628
1033,1,33,AL,Alabama,Colbert,54428.0,140.0,37805.0,694.59,103.0,29759.0,546.7588889,18.0,3256.0,59.82,17.0,3368.0,61.88,1.0,1415.0,26.0,4408
1039,1,39,AL,Alabama,Covington,37765.0,126.0,23386.0,619.25,103.0,20052.0,530.97,6.0,677.0,17.92888889,13.0,2093.0,55.42,1.0,291.0,7.71,4597
1045,1,45,AL,Alabama,Dale,50251.0,109.0,24732.0,492.17,68.0,17979.0,357.77888889999997,9.0,1891.0,37.63,27.0,3712.0,73.87,1.0,278.0,5.53,4644
1047,1,47,AL,Alabama,Dallas,43820.0,140.0,26546.0,605.7988889,73.0,16764.0,382.5688889,34.0,6398.0,146.0088889,26.0,2438.0,55.64,2.0,536.0,12.23,4540
1051,1,51,AL,Alabama,Elmore,79303.0,141.0,37247.0,469.68,92.0,28235.0,356.04,13.0,1902.0,23.98,30.0,5902.0,74.42,2.0,677.0,8.538888888999999,4588
1053,1,53,AL,Alabama,Escambia,38319.0,124.0,23014.0,600.59,88.0,17917.0,467.56888889999993,10.0,2164.0,56.46888889,18.0,1849.0,48.25,2.0,530.0,13.83,4535
1055,1,55,AL,Alabama,Etowah,104430.0,256.0,84006.0,804.4188889,193.0,64316.0,615.8788889,21.0,4813.0,46.09,35.0,5816.0,55.68888889,1.0,7624.0,73.01,4422
1057,1,57,AL,Alabama,Fayette,17241.0,94.0,11039.0,640.2788889,76.0,9490.0,550.4288889,4.0,541.0,31.37888889,11.0,795.0,46.10888889,1.0,90.0,5.218888889,4449
1059,1,59,AL,Alabama,Franklin,31704.0,102.0,20416.0,643.96,89.0,16733.0,527.7888889,4.0,526.0,16.58888889,6.0,1195.0,37.68888889,1.0,1487.0,46.89888889,4415
1061,1,61,AL,Alabama,Geneva,26790.0,102.0,16488.0,615.45,69.0,12807.0,478.05,9.0,1156.0,43.14888889,20.0,1960.0,73.15888889,1.0,50.0,1.87,4638
1063,1,63,AL,Alabama,Greene,9045.0,28.0,2425.0,268.1,12.0,1134.0,125.37,7.0,857.0,94.75,8.0,375.0,41.46,1.0,37.0,4.088888889,4484
1065,1,65,AL,Alabama,Hale,15760.0,69.0,9531.0,604.7588889,25.0,4362.0,276.77888889999997,24.0,3493.0,221.63888889999998,16.0,1386.0,87.93888889,1.0,25.0,1.59,4493
1069,1,69,AL,Alabama,Houston,101547.0,210.0,81059.0,798.24,152.0,60486.0,595.6488889,18.0,3855.0,37.96,31.0,12245.0,120.5788889,1.0,2551.0,25.12,4658
1071,1,71,AL,Alabama,Jackson,53227.0,145.0,28922.0,543.37,118.0,24116.0,453.0788888999999,6.0,845.0,15.88,18.0,2116.0,39.75,1.0,1515.0,28.46,4328
1073,1,73,AL,Alabama,Jefferson,658466.0,1198.0,552254.0,838.7,710.0,308984.0,469.25,257.0,106653.0,161.9688889,150.0,67037.0,101.81,32.0,55083.0,83.65,4456
1077,1,77,AL,Alabama,Lauderdale,92709.0,206.0,54063.0,583.1488889,144.0,40963.0,441.8388889,19.0,2346.0,25.3,38.0,8079.0,87.14,2.0,1948.0,21.01,4391
1079,1,79,AL,Alabama,Lawrence,34339.0,81.0,17919.0,521.83,61.0,15711.0,457.52888889999997,7.0,944.0,27.48888889,12.0,1175.0,34.21888889,1.0,87.0,2.528888889,4391
1081,1,81,AL,Alabama,Lee,140247.0,175.0,56996.0,406.3988889,93.0,30090.0,214.55,41.0,7368.0,52.53888889,30.0,15250.0,108.73888889999999,2.0,2872.0,20.48,4609
1083,1,83,AL,Alabama,Limestone,82782.0,166.0,43018.0,519.6488889,122.0,33582.0,405.67,14.0,866.0,10.46,25.0,4899.0,59.17888889,1.0,2462.0,29.73888889,4366
1087,1,87,AL,Alabama,Macon,21452.0,67.0,9583.0,446.72,18.0,2695.0,125.62888889999999,28.0,4945.0,230.5088889,16.0,1164.0,54.25888889,1.0,100.0,4.66,4620
1089,1,89,AL,Alabama,Madison,334811.0,432.0,168830.0,504.25,284.0,105503.0,315.11,41.0,6710.0,20.03888889,72.0,35533.0,106.12888889999999,6.0,14157.0,42.28,4352
1091,1,91,AL,Alabama,Marengo,21027.0,88.0,16244.0,772.5288889,50.0,10671.0,507.49,14.0,3057.0,145.3788889,20.0,1906.0,90.65,1.0,386.0,18.35888889,4495
1093,1,93,AL,Alabama,Marion,30776.0,112.0,18828.0,611.7788889,95.0,16308.0,529.8888889,3.0,366.0,11.89,12.0,1460.0,47.43888889,1.0,474.0,15.4,4432
1095,1,95,AL,Alabama,Marshall,93019.0,216.0,60942.0,655.1588889,169.0,43707.0,469.87,4.0,372.0,4.0,38.0,7868.0,84.57888889,2.0,8382.0,90.10888889,4377
1097,1,97,AL,Alabama,Mobile,412992.0,599.0,253133.0,612.9188889,354.0,149286.0,361.47,99.0,34124.0,82.62888889,79.0,30312.0,73.4,35.0,32003.0,77.48888889,4466
1099,1,99,AL,Alabama,Monroe,23068.0,88.0,14959.0,648.47,51.0,8597.0,372.68,19.0,4578.0,198.46,15.0,1377.0,59.68888889,1.0,100.0,4.338888889,4520
1101,1,101,AL,Alabama,Montgomery,229363.0,354.0,159955.0,697.3888889,182.0,69894.0,304.73,89.0,44089.0,192.2188889,54.0,31983.0,139.4388889,9.0,9480.0,41.32888889,4610
1103,1,103,AL,Alabama,Morgan,119490.0,250.0,83260.0,696.7888889,179.0,59647.0,499.18,19.0,2605.0,21.8,46.0,11687.0,97.81,1.0,8380.0,70.12888889,4380
1107,1,107,AL,Alabama,Pickens,19746.0,98.0,13500.0,683.6788889,62.0,9795.0,496.05,15.0,1716.0,86.9,19.0,1603.0,81.18,1.0,74.0,3.75,4474
1109,1,109,AL,Alabama,Pike,32899.0,89.0,16755.0,509.29,52.0,10098.0,306.9388889,19.0,3675.0,111.70888889999999,14.0,2442.0,74.23,1.0,215.0,6.54,4626
1111,1,111,AL,Alabama,Randolph,22913.0,106.0,13134.0,573.21,69.0,9053.0,395.1,9.0,1953.0,85.23888889,26.0,1978.0,86.32888889,1.0,149.0,6.5,4539
1113,1,113,AL,Alabama,Russell,52947.0,133.0,36790.0,694.85,74.0,23650.0,446.67,38.0,8303.0,156.8188889,14.0,2444.0,46.15888889,4.0,1595.0,30.12,4635
1115,1,115,AL,Alabama,St. Clair,83593.0,154.0,39768.0,475.73,121.0,34066.0,407.5188889,12.0,1778.0,21.26888889,18.0,2856.0,34.17,1.0,1056.0,12.63,4454
1117,1,117,AL,Alabama,Shelby,195085.0,230.0,85708.0,439.3388889,172.0,61933.0,317.47,12.0,2421.0,12.41,38.0,16076.0,82.40888889,1.0,2883.0,14.77888889,4492
1119,1,119,AL,Alabama,Sumter,13763.0,52.0,4970.0,361.11,26.0,2664.0,193.56,11.0,1499.0,108.92,13.0,769.0,55.86888889,1.0,37.0,2.69,4482
1121,1,121,AL,Alabama,Talladega,82291.0,209.0,44005.0,534.75,139.0,33499.0,407.0788889,25.0,3645.0,44.28888889,37.0,4538.0,55.14888889,4.0,1769.0,21.5,4503
1123,1,123,AL,Alabama,Tallapoosa,41616.0,142.0,28905.0,694.5588888999999,86.0,19714.0,473.7088889,16.0,3526.0,84.73,33.0,4580.0,110.0488889,1.0,894.0,21.48,4574
1125,1,125,AL,Alabama,Tuscaloosa,194656.0,311.0,104315.0,535.8888889,208.0,71803.0,368.87,45.0,14428.0,74.12,47.0,12415.0,63.78,2.0,3729.0,19.16,4471
1127,1,127,AL,Alabama,Walker,67023.0,217.0,43800.0,653.5088889,180.0,39118.0,583.6488889,8.0,1087.0,16.21888889,25.0,2552.0,38.07888889,1.0,523.0,7.798888889,4439
1129,1,129,AL,Alabama,Washington,17581.0,88.0,10284.0,584.95,55.0,7391.0,420.3988889,12.0,1621.0,92.2,19.0,1242.0,70.64,2.0,30.0,1.71,4470
1131,1,131,AL,Alabama,Wilcox,11670.0,72.0,7124.0,610.45,34.0,3442.0,294.9388889,25.0,3007.0,257.67,8.0,568.0,48.67,3.0,12.0,1.03,4529
4003,4,3,AZ,Arizona,Cochise,131346.0,207.0,53070.0,404.05,131.0,13773.0,104.8588889,3.0,862.0,6.5588888889999994,26.0,3386.0,25.78,16.0,26615.0,202.6288889,5675
4005,4,5,AZ,Arizona,Coconino,134421.0,182.0,39909.0,296.8988889,98.0,10785.0,80.23,2.0,171.0,1.27,18.0,3756.0,27.94,9.0,6750.0,50.21888889,5164
4012,4,12,AZ,Arizona,La Paz,20489.0,39.0,4909.0,239.59,27.0,2314.0,112.9388889,1.0,174.0,8.49,3.0,302.0,14.74,4.0,1109.0,54.13,5633
4013,4,13,AZ,Arizona,Maricopa,3817117.0,2299.0,1491480.0,390.73,1206.0,534453.0,140.0088889,48.0,6278.0,1.64,241.0,104145.0,27.28,100.0,520651.0,136.4,5655
4017,4,17,AZ,Arizona,Navajo,107449.0,194.0,46910.0,436.5788888999999,98.0,13966.0,129.9788889,2.0,207.0,1.93,18.0,1410.0,13.11888889,14.0,6600.0,61.42,5268
4019,4,19,AZ,Arizona,Pima,980263.0,636.0,390546.0,398.41,362.0,98278.0,100.26,14.0,4190.0,4.268888888999999,77.0,37037.0,37.78,50.0,203770.0,207.87,5680
4021,4,21,AZ,Arizona,Pinal,375770.0,245.0,81614.0,217.1888889,155.0,20514.0,54.59,3.0,369.0,0.98,21.0,5869.0,15.61888889,20.0,39268.0,104.5,5689
4027,4,27,AZ,Arizona,Yuma,195751.0,141.0,73206.0,373.98,92.0,18341.0,93.7,3.0,222.0,1.128888889,14.0,4078.0,20.82888889,7.0,43401.0,221.7188889,5625
5001,5,1,AR,Arkansas,Arkansas,19019.0,66.0,13578.0,713.9188889,41.0,9709.0,510.49,7.0,1032.0,54.25888889,16.0,2500.0,131.4488889,1.0,300.0,15.76888889,4547
5003,5,3,AR,Arkansas,Ashley,21853.0,100.0,19524.0,893.4188889000001,65.0,14265.0,652.7688889,19.0,3469.0,158.74,12.0,1009.0,46.17,2.0,694.0,31.76,4579
5005,5,5,AR,Arkansas,Baxter,41513.0,92.0,21158.0,509.67,74.0,14884.0,358.54,2.0,499.0,12.01888889,9.0,2528.0,60.89888889,1.0,2359.0,56.82888889,4432
5011,5,11,AR,Arkansas,Bradley,11508.0,58.0,9409.0,817.61,30.0,5785.0,502.68888889999994,15.0,2263.0,196.65,11.0,972.0,84.45888889,1.0,389.0,33.79888889,4571
5017,5,17,AR,Arkansas,Chicot,11800.0,39.0,6282.0,532.37,23.0,4240.0,359.3188889,7.0,999.0,84.65888889,6.0,498.0,42.2,1.0,525.0,44.49,4582
5019,5,19,AR,Arkansas,Clark,22995.0,84.0,15623.0,679.4088889,58.0,12259.0,533.12,9.0,1291.0,56.14,15.0,1735.0,75.45,1.0,80.0,3.48,4566
5027,5,27,AR,Arkansas,Columbia,24552.0,73.0,12995.0,529.2788889,33.0,7487.0,304.9388889,21.0,3082.0,125.53,16.0,1972.0,80.31888889,1.0,220.0,8.96,4590
5029,5,29,AR,Arkansas,Conway,21273.0,66.0,10387.0,488.2688888999999,46.0,6533.0,307.1,6.0,872.0,40.99,8.0,846.0,39.77,4.0,1791.0,84.18888889,4495
5031,5,31,AR,Arkansas,Craighead,96443.0,170.0,54194.0,561.9288889,129.0,44184.0,458.1388888999999,5.0,655.0,6.79,24.0,5408.0,56.07,2.0,2470.0,25.60888889,4469
5035,5,35,AR,Arkansas,Crittenden,50902.0,79.0,24856.0,488.31,48.0,16649.0,327.0788889,17.0,4466.0,87.73888889,8.0,2805.0,55.10888889,3.0,525.0,10.31,4508
5037,5,37,AR,Arkansas,Cross,17870.0,59.0,12130.0,678.7888889,42.0,8988.0,502.97,6.0,1289.0,72.12888889,10.0,1503.0,84.10888889,1.0,350.0,19.58888889,4503
5039,5,39,AR,Arkansas,Dallas,8116.0,40.0,4735.0,583.4188889,18.0,2824.0,347.9488889,8.0,1220.0,150.3188889,10.0,591.0,72.81888889,1.0,36.0,4.44,4557
5041,5,41,AR,Arkansas,Desha,13008.0,52.0,8525.0,655.37,32.0,6173.0,474.55,10.0,1380.0,106.09,7.0,856.0,65.81,2.0,82.0,6.298888889,4566
5043,5,43,AR,Arkansas,Drew,18509.0,68.0,13284.0,717.7,39.0,8917.0,481.7688888999999,13.0,2069.0,111.78,12.0,1754.0,94.76,1.0,242.0,13.07,4569
5045,5,45,AR,Arkansas,Faulkner,113237.0,144.0,53936.0,476.31,112.0,39848.0,351.8988889,5.0,744.0,6.57,21.0,6728.0,59.42,1.0,5089.0,44.93888889,4498
5051,5,51,AR,Arkansas,Garland,96024.0,193.0,51057.0,531.71,134.0,31254.0,325.48,13.0,2578.0,26.85,29.0,10744.0,111.89,3.0,4501.0,46.86888889,4533
5053,5,53,AR,Arkansas,Grant,17853.0,50.0,8562.0,479.5788888999999,38.0,7283.0,407.9388889,2.0,307.0,17.19888889,8.0,904.0,50.64,1.0,68.0,3.81,4541
5057,5,57,AR,Arkansas,Hempstead,22609.0,67.0,11496.0,508.47,38.0,7340.0,324.6488889,12.0,2268.0,100.31,14.0,1277.0,56.47888889,1.0,386.0,17.07,4593
5059,5,59,AR,Arkansas,Hot Spring,32923.0,94.0,15885.0,482.49,72.0,12736.0,386.8388889,7.0,1505.0,45.71,13.0,1552.0,47.14,1.0,90.0,2.73,4546
5061,5,61,AR,Arkansas,Howard,13789.0,59.0,8135.0,589.96,36.0,5521.0,400.3888889,11.0,1589.0,115.23888889999999,8.0,794.0,57.57888889,1.0,150.0,10.88,4591
5063,5,63,AR,Arkansas,Independence,36647.0,107.0,21239.0,579.5588888999999,85.0,17227.0,470.0788888999999,2.0,308.0,8.4,16.0,2988.0,81.53,1.0,350.0,9.55,4469
5065,5,65,AR,Arkansas,Izard,13696.0,61.0,6748.0,492.69888889999993,48.0,5653.0,412.75,1.0,175.0,12.77888889,10.0,784.0,57.24,1.0,125.0,9.13,4444
5067,5,67,AR,Arkansas,Jackson,17997.0,73.0,10150.0,563.98,57.0,8559.0,475.5788888999999,4.0,536.0,29.78,10.0,1005.0,55.84,1.0,50.0,2.7788888889999996,4483
5069,5,69,AR,Arkansas,Jefferson,77435.0,188.0,46297.0,597.8788889,105.0,26985.0,348.49,53.0,11335.0,146.3788889,22.0,5881.0,75.95,3.0,1121.0,14.48,4542
5077,5,77,AR,Arkansas,Lee,10424.0,34.0,3719.0,356.7688889,22.0,2618.0,251.15,4.0,652.0,62.54888889,6.0,394.0,37.79888889,1.0,54.0,5.1788888889999996,4530
5079,5,79,AR,Arkansas,Lincoln,14134.0,40.0,5145.0,364.0188889,29.0,3763.0,266.24,5.0,821.0,58.09,4.0,451.0,31.91,2.0,105.0,7.4288888889999996,4556
5081,5,81,AR,Arkansas,Little River,13171.0,51.0,7838.0,595.1,32.0,6325.0,480.22,7.0,616.0,46.77,7.0,728.0,55.27,2.0,86.0,6.53,4624
5083,5,83,AR,Arkansas,Logan,22353.0,95.0,17807.0,796.6288889,74.0,14592.0,652.7988889,2.0,367.0,16.42,8.0,1335.0,59.71888889,8.0,1507.0,67.42,4524
5085,5,85,AR,Arkansas,Lonoke,68356.0,114.0,30607.0,447.75888889999993,87.0,24578.0,359.56,4.0,541.0,7.91,17.0,4039.0,59.09,2.0,155.0,2.27,4520
5091,5,91,AR,Arkansas,Miller,43462.0,94.0,26253.0,604.0388889,70.0,19930.0,458.56,11.0,2038.0,46.89,11.0,2879.0,66.23888889,1.0,1404.0,32.29888889,4615
5093,5,93,AR,Arkansas,Mississippi,46480.0,131.0,31145.0,670.07,95.0,24845.0,534.5288889,16.0,3027.0,65.12,15.0,2073.0,44.6,2.0,500.0,10.75888889,4467
5095,5,95,AR,Arkansas,Monroe,8149.0,38.0,5668.0,695.5488889,22.0,4033.0,494.91,7.0,838.0,102.82888890000001,8.0,732.0,89.82888889,1.0,65.0,7.98,4533
5097,5,97,AR,Arkansas,Montgomery,9487.0,31.0,4163.0,438.81,25.0,3532.0,372.3,1.0,178.0,18.76,4.0,353.0,37.21,1.0,100.0,10.53888889,4548
5103,5,103,AR,Arkansas,Ouachita,26120.0,131.0,23963.0,917.4188889000001,65.0,13411.0,513.44,42.0,8165.0,312.6,21.0,2114.0,80.93,1.0,100.0,3.83,4576
5105,5,105,AR,Arkansas,Perry,10445.0,24.0,3744.0,358.4488889,20.0,3324.0,318.24,1.0,120.0,11.49,1.0,50.0,4.79,1.0,250.0,23.92888889,4514
5107,5,107,AR,Arkansas,Phillips,21757.0,59.0,11039.0,507.37888889999994,30.0,6170.0,283.5888889,18.0,3434.0,157.83,8.0,1052.0,48.35,1.0,216.0,9.928888889,4546
5109,5,109,AR,Arkansas,Pike,11291.0,57.0,6601.0,584.62,45.0,5540.0,490.66,1.0,184.0,16.3,8.0,456.0,40.39,1.0,250.0,22.14,4572
5111,5,111,AR,Arkansas,Poinsett,24583.0,89.0,16482.0,670.46,72.0,14663.0,596.47,2.0,197.0,8.008888889,11.0,1278.0,51.99,2.0,209.0,8.5,4487
5115,5,115,AR,Arkansas,Pope,61754.0,151.0,28676.0,464.36,129.0,21515.0,348.3988889,3.0,365.0,5.91,13.0,4163.0,67.40888889,3.0,1527.0,24.73,4483
5117,5,117,AR,Arkansas,Prairie,8715.0,29.0,4362.0,500.5188888999999,22.0,3248.0,372.6888889,1.0,178.0,20.42,5.0,760.0,87.20888889,1.0,176.0,20.19888889,4521
5119,5,119,AR,Arkansas,Pulaski,382748.0,557.0,222466.0,581.23,351.0,128692.0,336.23,75.0,21575.0,56.36888889,82.0,38729.0,101.18888890000001,15.0,23960.0,62.6,4516
5123,5,123,AR,Arkansas,St. Francis,28258.0,77.0,14687.0,519.75,44.0,9596.0,339.5888889,19.0,3733.0,132.0988889,11.0,1266.0,44.79888889,1.0,92.0,3.2588888889999996,4519
5125,5,125,AR,Arkansas,Saline,107118.0,146.0,43486.0,405.9588889,121.0,33609.0,313.7588889,6.0,1081.0,10.08888889,17.0,6680.0,62.35888889,1.0,2113.0,19.73,4522
5131,5,131,AR,Arkansas,Sebastian,125744.0,215.0,86374.0,686.8988889,157.0,57844.0,460.00888889999993,4.0,555.0,4.41,34.0,12423.0,98.79888889,6.0,12251.0,97.43,4548
5133,5,133,AR,Arkansas,Sevier,17058.0,50.0,9174.0,537.8088888999999,37.0,7062.0,414.0,1.0,196.0,11.49,9.0,664.0,38.92888889,1.0,1200.0,70.34888889,4612
